Search Term,Rating,Items Sold,Selling Price,List Price
Moyu Meilong 3c Original Rubik's Cube 3x3 Magic Puzzles Speed rubik Cube Magnets spring Cube 3*3 Sticker less Toys For Children R3SM,4.7/5,3K Sold,290,799
"SP Dealz  Rubik's Cube, 3x3 Magnetic Speed Cube, Super Fast Problem-Solving Challenging Retro Fidget Toy Travel Brain Teaser, for Adults & Kids Ages 8 and Up",4.7/5,1K Sold,249,999
Original Qiyi warrior S stickerless Rubik Cube 3x3 | Mind game | Best quality speed and magic toy,4.3/5,987 Sold,249,399
Rainbow Trio Fidget Spinner,3.3/5,177 Sold,331,-
Original Qiyi Rubiks Cube 3x3 Stickerless Qiyi Warrior S Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,4.8/5,10K Sold,269,999
ST infinity cube fidget toys prime quality fidget cubes gadgets Infinity Fidget Cube for Kids and Adults Stress and Anxiety Relief Cool Hand Mini Kill Time Toys Infinite Cube,5/5,5/5(1),515,555
Fidget Spinner Steel Bearing Rainbow,3/5,84 Sold,287,-
cube Antistress Cube Fidget Toys Cube Stress Relief Cube Toy For Children Men,5/5,5/5(1),427,640
Magic Mirror Cube 3x3x3 Gold Silver Professional Speed Cubes Puzzles Speedcube Educational Toys For Children Adults Gifts,4.4/5,56 Sold,599,700
Magic Bean Cube Finger Gyro Rotating Antistress Relieve Anxiety Develop Intelligence Decompression Fidget Toy Adults Kids Gift,N/A,Free Delivery,499,899
Moyu RS3M 2020 magnetic cheap budget stickerless speed cube | Rubiks cube for beginners and advance solvers,4.9/5,433 Sold,"1,399","2,800"
Original Qiyi Mirror Cube 2x2 Silver Stickerless Best Quality Fast Speedy Magic Rubik Speed Cube Educational Puzzle Toys,5/5,5/5(1),599,-
"Cube Lube for Rubik Cube, Rubik Cube Lube 10ml, Move Your Cube smoothly",4.1/5,350 Sold,149,-
"BRANDED Stickerless 56mm Warrior S Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys Rubik's Cube 3x3, Memory and Responsiveness Rubik Cube, Concentration Rubic Cube ( 56mm )",3.8/5,98 Sold,305,599
Original Rubiks Cube 2x2 Stickerless Best Quality Fast Speedy Magic Rubik Speed Cube Educational Puzzle Toys,4.6/5,1K Sold,298,850
Rubik Cube 3x3 Twister Cube Speed Cube,5/5,32 Sold,549,-
Fidget Spinner Stress Reducer Toy - Green -,4/5,4/5(1),155,-
New Star Rainbow Metal Fidget Spinner,3.7/5,95 Sold,310,-
STS   infinity cube fidget toys prime quality fidget cubes gadgets Infinity Fidget Cube for Kids and Adults Stress and Anxiety Relief Cool Hand Mini Kill Time Toys Infinite Cube,-,-,471,499
Moyu Meilong 3c Original Rubik's Cube 3x3 Magic Puzzles Speed rubik Cube Magnets spring Cube 3*3 Sticker less Toys For Children,5/5,5/5(2),279,600
Rubik's Cube Magic Cube Smooth Fast Speed Rubix Rubiks Puzzle Kids Gifts,-,-,98,-
X-Man Tornado V3 Flagship Edition fast speed cube with omnidirectional core magnets rubiks cube budget cube,4.5/5,70 Sold,"9,100","16,500"
Fidget spinner with 3D Led Lights And Unique Fun Tricks,3.9/5,158 Sold,299,-
Qiyi Magic Square Maple Leaf Ivy Rubik's Cube Curved Inclined Shaped Clover Rubik's Cube Toy,4.4/5,58 Sold,499,-
Fingertip Gyroscope Metal Fidget Spinner Big Size Metal Ball Stress Reducer Toy,4.4/5,203 Sold,250,-
"Rubik Cube 4x4 MoYu MEI-LONG, 4x4 Original Rubik Cube Sticker less, Fast Speedy Magic Rubik Cube, Educational Puzzle Toys",4.5/5,182 Sold,769,"1,200"
Fidget Spinner Stress Reducer Toy - Red -,4/5,127 Sold,155,-
MAGIC CUBE,-,-,300,600
3x3 Moyu RS3M Magnetic Speed Cube Stickerless Puzzle Toy MOYU RS3m 2020 Sticker less Magnetic Cube with Spring Compression System,4.7/5,355 Sold,"1,336","2,599"
Fidget Spinner Stress Reducer Toy - White-,-,-,140,-
mini ufo spinner Toy with  lights and Box  interactive flying toy for stress relief and fun gifts for boys and teen girls (Mix/Random color),2.3/5,60 Sold,"1,050","1,999"
Original Qiyi Rubiks Cube 3x3 Qiyi Sail W Best Sticker Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,4.7/5,4K Sold,289,999
Qiyi XMan Tornado V3-Rubiks Cube With Omnidirectional Core Magnetic - Duel adjestment (2 versions) Flagship-pioneer uv Coated Versions,-,-,"9,125","15,000"
Push Pop Simple Dimple Spinner,-,-,249,-
